"MessageID","MessageString","Severity"
"619","Microsoft SQL Server reported SQL message %1, severity %2: %3Please refer to your ConfigMgr Documentation, SQL Server Documentation, or the Microsoft Knowledge Base for further troubleshooting information.","Informational"
"620","Microsoft SQL Server reported SQL message %1, severity %2: %3Please refer to your ConfigMgr Documentation, SQL Server Documentation, or the Microsoft Knowledge Base for further troubleshooting information.","Informational"
"621","Created the ""%1"" inbox definition.  The inbox will exist on the Site Server with the relative path ""%2"".","Informational"
"622","Created the ""%1"" inbox definition.  The inbox will exist on the SQL Server with the relative path ""%2"".","Informational"
"624","Created the ""%1"" inbox definition.  The inbox will exist on the named export ""%2"" with the relative path ""%3"".%4%5%6%7%8%9%10","Informational"
"625","Read the existing ""%1"" inbox definition.  The inbox should exist on the Site Server with the relative path ""%2"".","Informational"
"626","Read the existing ""%1"" inbox definition.  The inbox should exist on the SQL Server with the relative path ""%2"".","Informational"
"628","Read the existing ""%1"" inbox definition.  The inbox should exist on the named export ""%2"" with the relative path ""%3"".%4%5%6%7%8%9%10","Informational"
"629","Deleted the ""%1"" inbox definition.%4%5%6%7%8%9%10","Informational"
"630","Created an inbox rule to copy ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Files will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"631","Created an inbox rule to copy ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Directories will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"632","Created an inbox rule to move ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Files will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"633","Created an inbox rule to move ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Directories will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"634","Created an inbox rule to mirror ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.%5%6%7%8%9%10","Informational"
"635","Created an inbox rule to mirror ""%1"" directories that match the template ""%1"" from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.%5%6%7%8%9%10","Informational"
"636","Read the existing inbox rule to copy ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Files will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"637","Read the existing inbox rule to copy ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Directories will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"638","Read the existing inbox rule to move ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Files will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"639","Read the existing inbox rule to move ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Directories will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"640","Read the existing inbox rule to mirror ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.%5%6%7%8%9%10","Informational"
"641","Read the existing inbox rule to mirror ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.%5%6%7%8%9%10","Informational"
"642","Deleted the inbox rule to copy ""%1"" files from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"643","Deleted the inbox rule to copy ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"644","Deleted the inbox rule to move ""%1"" files from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"645","Deleted the inbox rule to move ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"646","Deleted the inbox rule to mirror ""%1"" files from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"647","Deleted the inbox rule to mirror ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"648","Resolved the ""%1"" inbox to ""%2"".","Informational"
"649","Waiting for the ""%1"" inbox to be defined.%2","Informational"
"650","Waiting for SMS_INBOX_MANAGER to create the ""%1"" inbox.%2","Informational"
"663","Instructed SMS_REPLICATION_MANAGER to replicate file ""%1"" to the ""%2"" inbox at site %3.  The replication will be scheduled as low priority.%4%5%6%7%8%9%10","Informational"
"664","Instructed SMS_REPLICATION_MANAGER to replicate file ""%1"" to the ""%2"" inbox at site %3.  The replication will be scheduled as normal priority.%4%5%6%7%8%9%10","Informational"
"665","Instructed SMS_REPLICATION_MANAGER to replicate file ""%1"" to the ""%2"" inbox at site %3.  The replication will be scheduled as high priority.%4%5%6%7%8%9%10","Informational"
"10002","Deployment ""%1"" was received from site ""%2"".The client passes any supported platform requirements and Configuration Manager will add the Deployment's program to the list that will be displayed to users and/or run via assignment. If a deployment is received but not displayed on a client, verify that the current time on the client is between the deployment start and expiration times, and that the program specified in the deployment is enabled.","Informational"
"10005","Program started for deployment ""%1"" (""%4"" - ""%5"").Command line: %2Working directory: %3User context: %9","Informational"
"10008","The program for deployment ""%1"" completed successfully (""%4"" - ""%5""). User context: %9Configuration Manager determines status for each program it executes. If Configuration Manager cannot find or correlate any installation status Management Information Format (MIF) files for the program, it uses the program's exit code to determine status. This program returned an exit code that indicates it completed successfully.","Informational"
"10009","The program for deployment ""%1"" completed successfully (""%4"" - ""%5""). The success description was ""%3%7%8%9"".User context: %2The program generated an installation status Management Information Format (MIF) file with a status value of Success. For more information, see the documentation for the program you are distributing.","Informational"
"10022","The program for deployment ""%1"" (""%4"" - ""%5"") returned an exit code of ""%2""(""""), which indicates the operation was successful but a restart of the system is required for the operation to be complete. A restart might be pending because there is no maintenance window open. The restart will occur at the next available maintenance window. A status message indicating final success will be sent after the system has been restarted.Configuration Manager determines status for each program it executes. Any program dependencies will not be executed until after the restart occurs. If Configuration Manager cannot find or correlate any installation status Management Information Format (MIF) files for the program, it uses the program's exit code to determine status.","Informational"
"10026","The content for ""%4"" - ""%2"" has been removed from the cache. This content has been deleted because either the cache has been automatically cleaned or the cache was deleted manually. The current cache size is %8 MB, and %7 MB of cache space is available.","Informational"
"10027","The cache size has been modified from %6 MB to %7 MB.The cache is located at %3.","Informational"
"10029","The cache location has been modified.The cache was previously located at %2.The cache is now located at %3. The current cache size is %7 MB. The contents of the cache have been cleared as a result of this change.","Informational"
"10034","The program for the deployment ""%1"" (""%4"" - ""%5"") has been cancelled due to a user request.","Informational"
"10035","The program for deployment ""%1 has not yet started because the content for the package ""%4"" - ""%5"" (version %2) has not been acquired. Possible cause: The content for this program must be downloaded into the computer's cache, or the content could not be located. Solution: If the program is being downloaded, no action is required. The program will start once the download has been successfully completed. If the content can not be located, ensure that a distribution point with this content is available for this computer.  Distribution point availability can be affected by boundary configuration which is used to determine whether distribution points are classified as local or remote, or by enabling distribution points as protected distribution points.","Informational"
"10036","The program for deployment ""%1"" has not be run yet (""%4"" - ""%5""). The program settings indicate that this program has a user logon condition that must be satisfied before it can be run, and this condition has not yet been satisfied. This program will run once the user logon condition is satisfied.","Informational"
"10037","The program for deployment ""%1"" has not been run yet (""%4"" - ""%5""). ConfigMgr is currently running another program (""%2"" - ""%3"") on this computer, and that program must complete before this one can begin.","Informational"
"10040","The program for deployment ""%1"" will not be run (""%4"" - ""%5""). The program settings indicate that this program should only be run on computers where the previous attempt to run this program was not successful. The previous attempt to run this program was successful. This program was previously run successfully at %6.","Informational"
"10041","The program for deployment ""%1"" will not be run (""%4"" - ""%5""). The program settings indicate that this program should only be run on computers where the previous attempt to run this program was successful. The previous attempt to run this program was not successful. This program attempted to run unsuccessfully at %6.","Informational"
"10042","The program for deployment ""%1"" will not be run (""%4"" - ""%5""). The program settings indicate that this program should never be run on computers where a previous attempt to run this program has occurred. This program has been attempted on this computer. The program was previously attempted at %6.","Informational"
"10043","The program for deployment ""%1"" will not be run (""%4"" - ""%5""). The program settings indicate that this program should only be run on computers where a previous attempt to run this program has occurred. This program has never before been attempted on this computer.","Informational"
"10073","The program for deployment ""%1"" (""%4"" - ""%5"") has not yet started because no maintenance window is currently available. The Program will be retried when a maintenance window becomes available.Possible Cause: The duration for the maintenance window is shorter than the maximum runtime specified for this program.Solution: modify the duration of the maintenance window or add another maintenance window that is long enough in duration to accomodate the maximum runtime of this program.Possible Cause: The deployment is not set to override maintenance window.Solution: Update the deployment to override maintenance windows.  Note: setting the override flag will cause the system to install the program at the mandatory assignment scheduled time and may cause the system to restart if required. ","Informational"
"10075","A deployment has completed and requires the machine to restart but the restart cannot be performed due to maintenance window restrictions. The restart is waiting for the next available maintenance window.","Informational"
"10076","A deployment has completed and requires the machine to restart. The machine will restart now, and will not adhere to any maintenance window restrictions.","Informational"
"10077","The deployment ""%1"" (""%4"" - ""%5"") is waiting for package content from an Intranet-based Distribution Point. The system is Internet based and cannot run the program directly from a UNC location over the internet.","Informational"
"10090","The Windows Installer source paths have been successfully updated on this computer.","Informational"
"10500","Hardware Inventory Agent successfully collected hardware inventory from this computer.","Informational"
"10505","The Hardware Inventory schema has been updated successfully with a new Managed Object Format (MOF) file from site ""%1"". The Hardware Inventory Agent will use this updated MOF file in all subsequent inventory cycles.","Informational"
"10600","Software Inventory Agent successfully collected software inventory from this computer.","Informational"
"10602","Software Inventory Agent could not collect one or more files.Possible cause: Software Inventory Agent needs to make a copy of each collected file before the files can be collected. There is insufficient disk space to allow this second copy to be made. As a result, some files that match the file collection criteria might not be collected on this inventory cycle. Either this client has insufficient disk space, or the file collection criteria specifies the collection of too many files.Solution: Increase disk space on the client, or specify that fewer files be collected.","Informational"
"10605","Software Inventory Agent successfully collected %1 files, totally %2 KB of data, from this computer. These files will be transfered to the Site Server as part of the Software Inventory (SINV) file.","Informational"
"10650","File collection has successfully run on this computer.  A total of %1 files (%2 KB) were collected that match the following path and file name:  %3 ","Informational"
"10700","Inventory was collected successfully on this computer.  The agent completed in %1 minutes, %2 seconds.","Informational"
"10701","Inventory was collected successfully on this computer.  The agent completed in %1 minutes, %2 seconds and generated inventory data report %3. ","Informational"
"10800","The ConfigMgr client was installed. The current version is %1.","Informational"
"10801","The ConfigMgr client was uninstalled.","Informational"
"10802","The ConfigMgr client was upgraded. The current version is %1.","Informational"
"10804","The ConfigMgr client was reassigned. The previous site code was ""%1"". The new site code is ""%2"".","Informational"
"10807","The ConfigMgr client is already assigned to site ""%1"". The client site assignment was not changed.","Informational"
"10809","The ConfigMgr client was repaired. The current version is %1.","Informational"
"10811","The SMS Service Host (CCMEXEC) has recovered from Low Memory Mode.  The machine has %2 meg(s) available RAM + pagefile, which exceeds the recovery threshold of %1 meg(s).  All functionality will now be enabled.","Informational"
"10813","The SMS Service Host (CCMEXEC) successfuly updated certificate information in the Active Directory. ","Informational"
"10814","The ConfigMgr client was installed but may require a reboot for the installation to complete.","Informational"
"10816","The ConfigMgr Client generated a new SMS Unique Identifier.  The old SMS Unique ID was %2.  The new SMS Unique ID is %1.","Informational"
"10903","Software Metering Agent successfully processed %1 usage data files.","Informational"
"10906","Software Metering Agent successfully processed %1 rule file.","Informational"
"10907","Software Metering Agent successfully received rule %1 for program %2, version %3.","Informational"
"11000","Client agent settings policy received.","Informational"
"11010","Software Distribution Policy received for Deployment %1 (Package %2).","Informational"
"11020","Package Location response received for Deployment %1 (Package %2).","Informational"
"11030","Starting content download for package %1 (Deployment %2).","Informational"
"11031","Successfully downloaded content for package %1 (Deployment %2).","Informational"
"11034","Attempting to execute command line %1.","Informational"
"11035","The program for Deployment %1 (Package %2) executed successfully.","Informational"
"11070","Hardware inventory initiated.","Informational"
"11072","Hardware inventory succeeded.","Informational"
"11074","Device Client successfully refreshed site server signing certificate (SSSC).","Informational"
"11080","Software inventory initiated.","Informational"
"11082","Software inventory succeeded.","Informational"
"11083","Device Client is about to be upgraded.","Informational"
"11084","Device Client is about to be uninstalled.","Informational"
"11090","File collection initiated.","Informational"
"11091","File collection succeeded.","Informational"
"11096","Registration of Device Client in Native Security Mode succeeded.","Informational"
"11100","The OS Deployment agent successfully started the action %1.","Informational"
"11102","The OS installation has been completed successfully.","Informational"
"11106","The OS installation successfully started the Validation phase.","Informational"
"11107","The OS installation successfully started the State Capture phase.","Informational"
"11108","The OS installation successfully started the Preinstall phase.","Informational"
"11109","The OS installation successfully started the Install phase.","Informational"
"11110","The OS installation successfully started the Postinstall phase.","Informational"
"11111","The OS installation successfully started the State Restore phase.","Informational"
"11112","Package was succesfully downloaded from Multicast enabled DP.","Informational"
"11113","Package failed to download from Multicast enabled DP. Error %1. Will try another DP. ","Informational"
"11120","The task sequence execution engine skipped the disabled group (%3).","Informational"
"11122","The task sequence execution engine skipped the group (%3) because the condition was evaluated to be false.","Informational"
"11123","The task sequence execution engine evaluated TRUE for the condition of the group (%3).","Informational"
"11124","The task sequence execution engine started the group (%3).","Informational"
"11127","The task sequence execution engine successfully completed the group (%3).","Informational"
"11128","The task sequence execution engine skipped the disabled action (%2) in the group (%3).","Informational"
"11130","The task sequence execution engine skipped the action (%2) in the group (%3) because the condition was evaluated to be false.","Informational"
"11131","The task sequence execution engine evaluated TRUE for the condition of the action (%2) in the group (%3).","Informational"
"11133","The task sequence execution engine successfully started the action (%2) in the group (%3).","Informational"
"11134","The task sequence execution engine successfully completed the action (%2) in the group (%3) with exit code %4Action output: %5%6%7%8.","Informational"
"11136","The task sequence execution engine received an external shutdown request during execution of the action (%2) in the group (%3)Partial action output: %5%6%7%8.","Informational"
"11140","The task sequence execution engine started execution of a task sequence.","Informational"
"11142","The task sequence execution engine performed a system reboot initiated by the action (%2) in the group (%3).","Informational"
"11143","The task sequence execution engine successfully completed a task sequence.","Informational"
"11144","The task sequence execution engine from a non-client started execution of a task sequence.","Informational"
"11171","The task sequence manager successfully completed execution of the task sequence.","Informational"
"11252","Software updates installation was rescheduled by the user.","Informational"
"11253","Software updates installation was postponed by the user.","Informational"
"11254","Software updates installation was automatically postponed: the user did not choose to install the updates and the grace period has not expired.","Informational"
"11255","The software updates installation evaluation returned the following results: %1 Authorized, %2 attempted, %3 failed.Review the previous status message for further details about the actions taken during this update cycle. Refer to the associated detail messages from this client for each of the software update installations that were attempted for status on each update.","Informational"
"11257","Software updates installation was postponed: the user rescheduled the required system restart.Possible cause: Previous installations might have replaced in-use files and are awaiting a system restart to complete installation.  This restart was requested but the user of the computer has rescheduled it.Solution: Do nothing. Software update installation will be retried on the next scheduled cycle if the required restart has occurred.","Informational"
"11258","Software updates installation was postponed: The user postponed the required pre-installation restart.Possible cause: Previous installations might have replaced in-use files and are awaiting a system restart to complete installation.  This restart was requested but the user of the computer has postponed it.Solution: Restart the client computer or do nothing. Software update installation will be retried on the next scheduled cycle if the required restart has occurred.","Informational"
"11259","Software updates installation was automatically postponed: a pre-installation restart was required, but the user did not choose to restart and the grace period has not expired.Possible cause: Previous installations might have replaced in-use files and are awaiting a system restart to complete installation.  This restart was requested but the user of the computer did not allow it. Because the software updates in the current package were not yet required, the installation was postponed.","Informational"
"11261","Software updates installation completed but the required restart was rescheduled by the user.","Informational"
"11262","Software updates installation completed but the required restart was postponed by the user.","Informational"
"11263","Software updates installation completed but the required restart was postponed automatically.","Informational"
"11264","The Software Updates Installation Agent initiated a system restart because one or more software updates required a restart in order for the installation to take effect.","Informational"
"11266","Software Updates Installation Agent completed successfully and suppressed the required system restart because the program was configured to suppress restarts for workstations.","Informational"
"11267","Software Updates Installation Agent completed successfully and suppressed the required system restart because the program was configured to suppress restarts for servers.Note: to avoid this, use the scheduled installation feature (/l) to enable automated restarts within a defined time window.","Informational"
"11268","Software Updates Installation Agent completed successfully and no restart was required.","Informational"
"11269","Software update installation was postponed: awaiting system restart.Possible cause: Previous installations might have replaced in-use files and are awaiting a system restart to complete installation.Solution: Restart the client computer or do nothing. Software update installation will be retried on the next scheduled cycle if the required restart has occurred.","Informational"
"11270","Restart of the computer is required in order for newly installed updates to take effect.","Informational"
"11300","The software update was installed and a restart of the computer was not required for the changes to take effect. The run-time returned was %7 minute(s).Details: ID = %1, QNumbers = %2, Product = %3, Title = %4, Locale = %5, Executable = %6","Informational"
"11301","The software update was installed and a restart of the computer is required in order for the changes to take effect.  Refer to the deployment status to determine the restart status of the computer.  The run-time returned was %7 minute(s).Details: ID = %1, QNumbers = %2, Product = %3, Title = %4, Locale = %5, Executable = %6","Informational"
"11304","The software update was started, but was cancelled during installation by the user of the computer.Solution: To prevent this, software updates can be configured with enforcement options.  Consult the product documentation for details on the enforcement feature.Details: ID = %1, QNumbers = %2, Product = %3, Title = %4, Locale = %5, Executable = %6","Informational"
"11307","The software update was installed and a restart of the computer was not required for the changes to take effect. The run-time returned was %7 minute(s).Details: ID = %1, QNumbers = %2, Product = %3, Title = %4, Locale = %5, Executable = %6","Informational"
"11308","The software update was installed and a restart of the computer is required in order for the changes to take effect.  Refer to the deployment status to determine the restart status of the computer.  The run-time returned was %7 minute(s).Details: ID = %1, QNumbers = %2, Product = %3, Title = %4, Locale = %5, Executable = %6","Informational"
"11309","The software update was installed due to an administrator defined enforcement date being met.  A restart of the computer was not required for the changes to take effect. The run-time returned was %7 minute(s).Details: ID = %1, QNumbers = %2, Product = %3, Title = %4, Locale = %5, Executable = %6","Informational"
"11310","The software update was installed due to an administrator defined enforcement date being met.  A restart of the computer is required in order for the changes to take effect.  Refer to the deployment status to determine the restart status of the computer.  The run-time returned was %7 minute(s).Details: ID = %1, QNumbers = %2, Product = %3, Title = %4, Locale = %5, Executable = %6","Informational"
"11415","Scan started by Software Updates Scan Agent.","Informational"
"11417","Scan completed successfully by Software Updates Scan Agent.","Informational"
"11457","Software update catalog (type = %1) sync operation completed successfully. Newer version of catalog was downloaded and updated on distribution points.","Informational"
"11460","Software update catalog (type = %1) sync operation completed successfully. Newer version of catalog was not available.","Informational"
"11500","Version of device client on attached device is newer. No action taken.","Informational"
"11501","No device client action specified. No action taken.","Informational"
"11502","Device client installation completed successfully.","Informational"
"11503","Device client upgrade completed successfully.","Informational"
"11504","Installed device client state verified and settings enforced.","Informational"
"11505","Device client uninstallation completed successfully.","Informational"
"11506","Device client installation completed successfully and certificate enrollment was not required.","Informational"
"11507","Device client upgrade completed successfully and certificate enrollment was not required.","Informational"
"11508","Installed Device client state verified, settings enforced and certificate enrollment was not required.","Informational"
"11854","Baseline content %4 (%3), version %5 which was previously non-compliant or had no prior discovery information is now compliant.","Informational"
"11855","Baseline content %4 (%3), version %5 which was previously compliant, had no prior discovery information, or a different non-compliance severity is now non-compliant with 'Informational' severity.","Informational"
"11900","The task sequence execution engine successfully installed (%6) package (%5) for action (%2) in the group (%3) with exit code %4.","Informational"
"11902","The task sequence successfully installed application %5(%6) for action (%2) in the group (%3) with exit code %4.","Informational"
"11904","The task sequence successfully installed application %5(%6) that was specified through TS variable for action (%2) in the group (%3) with exit code %4.","Informational"
"11906","The task sequence has attempted to set UDA for users: %5 with assignment mode: %6 for action (%2) in the group (%3) with exit code %4.","Informational"
"12000","The out of band management agent successfully started the configuration at (%4).","Informational"
"12114","The computer requires a restart, and the client policy requires that Bitlocker be suspended prior to the restart.","Informational"
"12115","The computer required a restart, and Bitlocker was suspended prior to the restart.  Bitlocker has been resumed after %1 attempts.","Informational"
"12116","Configuration Manager restarted the computer to complete installation of software or software updates.","Informational"
"13102","The power agent detected that there is more than one power policy applied to the machine. ","Informational"
"517","Could not open file ""%1"" for reading.%2","Warning"
"518","Could not open file ""%1"" for reading and writing.%2","Warning"
"519","Could not read from file ""%1"".%2","Warning"
"520","Could not write to file ""%1"".%2","Warning"
"521","Could not copy file ""%1"" to ""%2"".","Warning"
"522","Could not move file ""%1"" to ""%2"".","Warning"
"523","Could not delete file ""%1"".%2","Warning"
"524","Could not lock file ""%1"".%2","Warning"
"525","Could not create directory ""%1"".%2","Warning"
"526","Could not remove directory ""%1"".%2","Warning"
"527","Could not set the current directory for this process to ""%1"".%2","Warning"
"528","Could not open a change notification handle for directory ""%1"".%2","Warning"
"529","Could not wait on a change notification handle for directory ""%1"".%2","Warning"
"561","Could not connect to registry hive %1 on computer %2.","Warning"
"562","Could not open registry key ""%1"" on computer %2 for reading.","Warning"
"563","Could not create or open registry key ""%1"" on computer %2 for reading and writing.","Warning"
"566","Could not delete the registry key ""%1"" on computer %2.","Warning"
"567","Could not enumerate the subkeys of the registry key ""%1"" on computer %2.","Warning"
"568","Could not open a change notification handle for registry key ""%1"" on computer %2.","Warning"
"569","The registry key ""%1"" on computer %2 is missing a required subkey or value, or contains one or more values that contain invalid data.","Warning"
"570","Could not read the registry value ""%1"" on computer %2.","Warning"
"571","Could not write the registry value ""%1"" on computer %2.","Warning"
"572","Could not delete the registry value ""%1"" on computer %2.","Warning"
"573","Could not enumerate the values of the registry key ""%1"" on computer %2.","Warning"
"574","The registry value ""%1"" on computer %2 contains invalid data.","Warning"
"616","Microsoft SQL Server reported SQL error %1, severity %2: %3Please refer to your ConfigMgr Documentation, SQL Server Documentation, or the Microsoft Knowledge Base for further troubleshooting information.","Warning"
"619","Microsoft SQL Server reported SQL message %1, severity %2: %3Please refer to your ConfigMgr Documentation, SQL Server Documentation, or the Microsoft Knowledge Base for further troubleshooting information.","Warning"
"651","Still waiting for the ""%1"" inbox to be defined.%2","Warning"
"652","Still waiting for SMS_INBOX_MANAGER to create the ""%1"" inbox.%2","Warning"
"666","Could not instruct SMS_REPLICATION_MANAGER to replicate file ""%1"" to the ""%2"" inbox at site %3.%4%5%6%7%8%9%10","Warning"
"668","The system is low on virtual memory and the component failed a memory allocation.  The component will retry the allocation until it succeeds.%1%2","Warning"
"10018","Deployment ""%1"" from site ""%2"" was rejected because the client's platform is not supported.Possible cause: The client received the deployment but rejected it because the client's platform was not included in the list of supported platforms specified for the program.Solution: If the client should actually accept the deployment, either disable supported platform checking or modify the list of supported platforms specified on the Requirements tab of the Program's Properties dialog box. Changes to the program properties will not be detected until the client receives updated policy.","Warning"
"10019","Deployment ""%1"" from site ""%2"" was rejected because the deployment has expired.Possible cause: The client received the deployment but rejected it because the deployment expiration date is past.Solution: If the client should accept the deployment, you can extend the life of the deployment by changing the expiration date and time or disabling expiration on the Schedule tab of the deployment's properties. Changes to the Deployment's Properties dialog box will not be detected until the client receives updated policy.","Warning"
"10045","The program for the deployment ""%1"" (""%4"" - ""%5"") requires content to be downloaded, but the cache does not have enough space.The current cache size is %8 MB, of which %7 MB is available. The current amount of free disk space on the cache volume is %9 MB. This program requires %6 MB to be available in the cache.Solution: Increase the size of the cache, or remove other content from the cache, or increase the amount of free disk space. This program will be retried.","Warning"
"10046","Windows Installer per-user elevation of this program (""%4"" - ""%5"") failed for deployment ""%1"".This program was started. Please check the status of this program to determine whether or not it was completed successfully.Possible causes: Insufficient permissions to access the executable path.Possible solutions: Change permissions on the files and folders. Possible causes: Failure to access Windows Installer databasePossible solutions: Verify that the Windows Installer is functioning.","Warning"
"10055","An error occurred while preparing to run the program for deployment ""%1"" (""%4"" - ""%5"").Additional program properties:Command line: %2Working directory: %3Drive letter (? = any): %6Possible cause: This message most commonly occurs when the program's command-line executable file could not be found, when a required drive letter connection to a distribution point could not be established. Solution: Check each of the items listed above. This program will be retried. ","Warning"
"10056","The program for deployment ""%1"" could not be executed (""%4"" - ""%5"").Additional program properties:Command line: %2Working directory: %3The command line for the program cannot be executed successfully.Possible cause: This error can be caused by an invalid executable file specified in the command line (such as an x64-based executable file on an x86-based computer) or by a corrupt executable file. This error can also be caused if the program is executed from a remote session.Solution: Make sure that the executable file specified in the program's command line is valid for the computer on which it is attempting to run. Also, manually verify that the specified command line can be executed from within the original content source directory. If necessary, modify the program properties, the content source files, or both. If changes to the content source files are required,  update all of the content's distribution points with the new version of the content source files before retrying execution on the client. This program will be retried. ","Warning"
"10060","The content for ""%4"" - ""%2"" can not be located. This client will attempt to locate this content again. Possible cause: The content source might not be available on any distribution servers, or the deployment may have been marked not to run program when no local Distribution Point is available and this client is in remote boundaries of the site.Solution: Use the Manage Distribution Points wizard to distribute the content to a distribution point. If this ConfigMgr client is expected to stay in remote boundaries then change the deployment to allow running program from remote Distribution Point or distribute the content to a distribution point within the boundaries of the client if you want to use the option Run program from distribution point.","Warning"
"10061","The program for deployment ""%1 has failed because download of the content ""%4"" - ""%2"" has failed. Possible cause: The content can not be found on the network, or the content could not be accessed, or the deployment may have been marked not to run program when no local Distribution Point is available and this client is in remote boundaries of the site. Solution: Check to ensure this content has been made available on a distribution point. Check to ensure the access control list allows this program to be accessed. Check to make sure that the file system path for the content, including the path to the cache directory, is not greater than 255 characters. This operation will be retried. If this client is expected to stay in remote roaming binderies then change the deployment to allow running program from remote Distribution Point.","Warning"
